Date,roc2 + RSI4,PERCENTILE(RSI4),roc2 / atr9,roc2 / atr21,RSI2 * sg9,RSI2 * sg21,RSI2 * zg9,Returns,Target
2002-07-02,9.708611496466885,0.1792288316217787,-0.0017609230069877,-0.0017609230069877,162434.10623818048,172089.47082950917,157484.18782669233,0.0130767793760508,1
2002-07-03,6.307688791366514,0.1459019569850804,-0.0030000643706309,-0.0030000643706309,53360.51597063307,56600.16266166593,51729.2784755874,-0.0051445140772612,0
2002-07-04,4.591198838664536,0.1230381708971129,-0.0035572055896046,-0.0035572055896046,27569.476733462023,29207.281034614138,26733.327184607955,-0.0325070371379279,0
2006-08-30,7.514436910015377,0.1488083704708389,-0.0001179548770439,-0.0001179548770439,26922.51265533413,27122.29885554914,26425.342901599237,0.022555755800856,1
2006-09-01,58.60761834908651,0.4785894206549118,0.0008944954700175,0.0008944954700175,3307463.816192079,3346787.679817323,3246303.48915818,0.0381278157850826,1
2006-09-04,78.29787416477524,0.5967835690757605,0.0021385861382697,0.0021385861382697,3577780.573747159,3623337.1655028574,3511719.2694153613,0.036233676975945,1
2006-09-05,82.95069426424872,0.6330168571982174,0.0016456381984771,0.0016456381984771,3630500.655003235,3674509.615025759,3564030.2037088023,0.0293080652269721,1
2006-09-06,71.27232068945074,0.5572563456694439,0.000246571545102,0.000246571545102,2600303.09508138,2627343.431650625,2553050.477449779,0.0109327238179164,1
2006-09-08,57.42424180847807,0.4764580507653556,-0.0006355251915691,-0.0006355251915691,1490742.098679327,1503100.27285404,1464102.8098297666,0.0089975712077721,1
2006-09-11,32.35186569572196,0.3538074016663437,-0.0014397022548236,-0.0014397022548236,422276.4678703638,424987.1509656941,414776.79302565736,-0.0417101985051836,0
2006-09-12,26.244072533871904,0.3175741135438868,-0.0015149435883474,-0.0015149435883474,270002.01603922615,271327.28081975435,265243.18742966146,-0.0410155731833496,0
2006-09-13,30.75666966107337,0.3394690951366014,-0.000336311027005,-0.000336311027005,749584.5364496734,752275.5361098093,736433.72274787,-0.0218903874973238,0
2006-09-14,24.774717868439385,0.3009106762255377,-0.0002467410535432,-0.0002467410535432,378545.3784616247,379429.035689297,371936.0271541919,-0.0151457368564423,0
2006-09-15,20.70986496362896,0.2741716721565588,-0.0005875219457658,-0.0005875219457658,223341.9335353306,223688.1552237791,219459.27646879252,-0.0106132720608348,0
2006-09-18,29.90662079636651,0.334237550862236,-9.364630349874011e-05,-9.364630349874011e-05,1398312.075533485,1400300.3388017858,1374125.2024920397,0.0198758805769876,1
2006-09-19,19.45382554509053,0.2619647355163728,-0.0003724626970338,-0.0003724626970338,418553.20897624496,419371.46116237104,411277.6210352427,-0.0072205162254128,0
2006-09-20,8.862322537036867,0.1751598527417167,-0.0016225894614709,-0.0016225894614709,104012.32770596296,104313.9633619475,102173.08485145544,-0.0370177838577291,0
2006-09-21,4.223739830694813,0.1214880837047083,-0.0023046703019414,-0.0023046703019414,39167.03134341522,39333.843600982094,38464.307237153145,-0.0366211207611882,0
2006-09-22,2.575992196074835,0.0964929277271846,-0.002149491394721,-0.002149491394721,19848.87266326585,19965.59774559089,19490.16503893769,-0.0379043406137683,0
2006-09-25,2.288579963280361,0.0829296647936446,-0.0014613240168077,-0.0014613240168077,12784.116554633358,12883.504250008604,12550.164645091909,-0.0413891401474659,0
2006-09-26,21.300967131040693,0.2757217593489633,-3.323784307568165e-05,-3.323784307568165e-05,1466690.6912231636,1481027.4398906664,1439471.3056163895,-0.0018670233517249,0
2006-09-27,42.0127553632974,0.39662856035652,0.0011503492223964,0.0011503492223964,2601732.9863055544,2631654.998535556,2553160.540753376,0.025826064721425,1
2006-09-28,60.62236595473014,0.4890525092036427,0.0015545559665706,0.0015545559665706,3207667.297503297,3248356.7274700026,3147856.426345183,0.0475452196382428,1
2006-09-29,69.7846016179136,0.540011625653943,0.0015322895338566,0.0015322895338566,3399364.8608203954,3445649.164682707,3336594.5440755943,0.0474151556079198,1
2006-10-02,80.75812648878474,0.6151908544855648,0.0017417749229541,0.0017417749229541,3544376.304039545,3593222.628866622,3479110.422608266,0.0596174191519172,1
2006-10-03,81.9237228264786,0.6275915520248014,0.0012939571462228,0.0012939571462228,3562320.628609976,3608050.626328236,3496994.798476391,0.017281331137106,1
2006-10-04,90.4582936625871,0.7072272815345864,0.0016536136428052,0.0016536136428052,3628060.155467588,3665063.5627619247,3560751.792594169,0.0455049022323159,1
2006-10-05,94.92605593655485,0.7587676806820384,0.0027834838111262,0.0027834838111262,3655588.5723398337,3677212.62128177,3587556.026321911,0.0408649893109684,1
2006-10-06,96.30942791776576,0.7924820771168378,0.0022572064493936,0.0022572064493936,3679662.5765985223,3682154.1166869183,3611531.614858798,0.0409064720568466,1
2006-10-09,97.73490657591836,0.8285216043402441,0.0020917272060702,0.0020917272060702,3705196.387624183,3687749.905962708,3636654.749511825,0.0363754115170813,1
2006-10-10,98.85910187471,0.8546793257120713,0.0022678135558209,0.0022678135558209,3730457.2999606994,3693742.939696652,3662164.5007849433,0.0608430759097644,1
2006-10-11,98.78923136387915,0.8653361751598527,0.0016148973896077,0.0016148973896077,3754316.6044246103,3700374.342029062,3686409.942987347,0.0151792100452992,1
2006-10-13,99.21875403868438,0.8854873086611121,0.0013917967673874,0.0013917967673874,3779212.578547096,3708589.700359583,3711290.3643447175,0.0229875977565368,1
2006-10-16,100.06295053182272,0.9069947684557256,0.0019243329612556,0.0019243329612556,3803496.166099013,3717765.525741838,3735715.101588667,0.033974696889826,1
